City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,howard springs,-12.497,131.047,22.95,67,18,1.6,AU,1689696813
83,faya-largeau,17.9257,19.1043,42.99,8,47,2.0,TD,1689696813
84,abepura,-2.6333,140.5833,25.45,83,20,2.06,ID,1689696813
85,ar rutbah,33.0381,40.2848,36.25,10,0,4.58,IQ,1689696814
86,st. john's,47.5649,-52.7093,27.93,80,75,9.26,CA,1689696634
87,mejit,10.2753,170.8646,27.89,82,84,6.65,MH,1689696814
88,wafangdian,39.6183,122.0081,20.44,73,0,1.02,CN,1689696814
89,hun,29.1268,15.9477,37.71,14,0,6.35,LY,1689696814
90,rossosh',51.1209,38.5116,21.63,81,100,6.07,RU,1689696815
91,bikenibeu village,1.3673,173.1241,26.98,83,75,2.06,KI,1689696815
92,pitimbu,-7.4706,-34.8086,28.33,76,39,7.53,BR,1689696815
93,usogorsk,63.4106,48.6872,21.35,62,89,1.51,RU,1689696816
94,harar,9.3094,42.1258,19.35,63,24,4.0,ET,1689696816
95,bengkulu,-3.8004,102.2655,24.57,90,53,3.71,ID,1689696816
96,west island,-12.1568,96.8225,25.99,78,100,9.26,CC,1689696816
97,ibotirama,-12.1853,-43.2206,33.76,21,0,1.71,BR,1689696817
98,zhanaozen,43.3,52.8,25.0,37,6,6.95,KZ,1689696817
99,severo-yeniseyskiy,60.3725,93.0408,12.12,63,12,1.37,RU,1689696817
100,sao joao da barra,-21.6403,-41.0511,30.05,70,16,3.41,BR,1689696817
101,westport,41.1415,-73.3579,30.93,76,40,3.09,US,1689696817
102,ilulissat,69.2167,-51.1,10.01,81,40,3.09,GL,1689696817
103,kavaratti,10.5669,72.642,28.22,81,87,8.27,IN,1689696818
104,shahr-e babak,30.1165,55.1186,33.49,14,92,3.77,IR,1689696818
105,jinghong,21.991,100.7341,25.73,59,94,1.56,CN,1689696818
106,punta arenas,-53.15,-70.9167,3.06,75,0,8.75,CL,1689696818
107,benguela,-12.5763,13.4055,23.06,80,37,2.45,AO,1689696818
108,kruisfontein,-34.0033,24.7314,16.05,94,12,2.94,ZA,1689696819
109,nosy varika,-20.5833,48.5333,21.52,79,37,1.55,MG,1689696819
110,guardo,42.7897,-4.8482,31.36,15,2,6.79,ES,1689696819
111,whitehorse,60.7161,-135.0538,14.43,72,75,3.6,CA,1689696819
112,vershino-darasunskiy,52.35,115.5167,14.06,85,77,3.52,RU,1689696819
113,sinabang,2.4803,96.3801,26.6,82,100,2.06,ID,1689696819
114,bredasdorp,-34.5322,20.0403,12.7,76,58,10.54,ZA,1689696820
115,xining,36.6167,101.7667,15.67,51,20,0.87,CN,1689696820
116,la gi,10.6667,107.7833,25.67,91,94,4.61,VN,1689696820
117,klyuchi,52.2667,79.1667,21.85,42,86,3.53,RU,1689696820
118,stanley,54.868,-1.6985,14.18,92,75,2.06,GB,1689696820
119,tostado,-29.232,-61.7692,15.55,37,25,3.36,AR,1689696821
120,iqaluit,63.7506,-68.5145,6.85,93,100,1.54,CA,1689696821
121,crane,31.3974,-102.3501,33.46,30,0,9.22,US,1689696821
122,egersund,58.4513,5.9997,15.21,71,76,7.3,NO,1689696821
123,la sarre,48.8002,-79.1996,17.41,66,63,4.53,CA,1689696821
124,terrace,54.5163,-128.6035,15.68,82,100,4.12,CA,1689696821
125,san gabriel chilac,18.3167,-97.35,23.71,61,100,3.33,MX,1689696822
126,port mathurin,-19.6833,63.4167,23.48,83,100,12.07,MU,1689696822
127,thompson,55.7435,-97.8558,19.09,55,40,0.0,CA,1689696822
128,quellon,-43.1167,-73.6167,7.14,93,0,2.06,CL,1689696822
129,burutu,5.3509,5.5076,27.48,76,100,5.16,NG,1689696822
130,malyye derbety,47.9547,44.6808,25.39,47,48,3.51,RU,1689696822
131,oodweyne,9.4092,45.064,28.82,35,64,8.92,SO,1689696823
132,south hedland,-20.4089,118.5983,15.96,77,51,0.0,AU,1689696823
133,ridder,50.355,83.5133,18.38,64,0,1.59,KZ,1689696823
134,saint-pierre,-21.3393,55.4781,21.82,78,0,9.77,RE,1689696823
135,geraldton,-28.7667,114.6,19.23,72,100,7.2,AU,1689696823
136,chonchi,-42.6128,-73.8092,6.18,75,100,1.73,CL,1689696824
137,cestos city,5.46,-9.5828,25.56,82,100,4.95,LR,1689696824
138,kafir qala,34.6667,61.0667,30.89,29,0,12.43,AF,1689696824
139,kailua-kona,19.6406,-155.9956,25.98,83,20,6.17,US,1689696796
140,senanga,-16.1167,23.2667,21.95,22,0,1.14,ZM,1689696825
141,santarem,-2.4431,-54.7083,31.07,66,75,5.66,BR,1689696736
142,erenhot,43.6475,111.9767,29.03,29,74,6.82,CN,1689696825
143,jamestown,42.097,-79.2353,24.45,64,20,4.12,US,1689696825
144,chepo,9.1667,-79.1,27.88,92,100,3.53,PA,1689696825
145,talnakh,69.4865,88.3972,12.89,85,100,5.89,RU,1689696825
146,solok,-0.7918,100.6593,22.53,98,99,0.2,ID,1689696826
147,suzhou,31.3114,120.6181,25.98,90,99,2.22,CN,1689696604
148,kirakira,-10.4544,161.9205,25.76,89,100,0.8,SB,1689696826
149,badger,64.8,-147.5333,16.4,88,75,1.54,US,1689696826
150,ixtapa,20.7,-105.2,30.13,83,75,3.09,MX,1689696826
151,tongchuanshi,35.0806,109.0897,22.62,58,2,2.79,CN,1689696831
152,kourou,5.1552,-52.6478,31.03,62,14,4.64,GF,1689696831
153,praia da vitoria,38.7333,-27.0667,23.2,68,75,0.84,PT,1689696832
154,ribeira grande,38.5167,-28.7,23.22,68,20,2.06,PT,1689696832
155,svetlyy,54.675,20.1347,20.03,60,15,8.81,RU,1689696832
156,hadibu,12.65,54.0333,25.56,75,16,9.02,YE,1689696832
157,ciudad melchor muzquiz,27.8833,-101.5167,30.73,49,0,1.51,MX,1689696832
158,kingston,17.997,-76.7936,27.53,78,75,4.63,JM,1689696832
159,antsiranana,-12.2787,49.2917,23.72,68,1,7.83,MG,1689696832
160,nova vicosa,-17.8919,-39.3719,27.23,61,52,5.44,BR,1689696586
161,piacabucu,-10.4056,-36.4344,26.86,67,11,4.78,BR,1689696833
162,fort mcmurray,56.7268,-111.381,19.77,68,0,2.06,CA,1689696750
163,safford,32.834,-109.7076,31.51,37,0,0.0,US,1689696833
164,vilyuchinsk,52.9306,158.4028,11.99,91,12,3.97,RU,1689696743
165,hithadhoo,-0.6,73.0833,27.63,73,67,1.42,MV,1689696833
166,mount pearl,47.5166,-52.7813,27.47,79,75,8.23,CA,1689696827
167,wamba,8.9333,8.6,32.38,53,66,3.64,NG,1689696588
168,soufriere,13.8562,-61.0566,30.78,81,40,6.17,LC,1689696833
169,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,0,2.0,RU,1689696834
170,tura,25.5198,90.2201,24.94,95,97,1.82,IN,1689696834
171,qaqortoq,60.7167,-46.0333,8.32,95,100,0.63,GL,1689696834
172,kodiak,57.79,-152.4072,12.73,94,100,3.09,US,1689696834
173,quepos,9.4236,-84.1652,29.31,71,60,1.96,CR,1689696834
